"region","area_sq_km"
"45_-74",8647.531639259
"45_-75",8686.33386011
"45_-76",8689.55837375
"45_-77",8683.387790057
"45_-78",8686.33386011
"45_-79",8675.44219567
"45_-80",3284.45930373
"45_-81",1369.283848264
"45_-82",1572.40535609
"45_-83",2435.1860202624
"45_-84",6336.04308287
"45_-85",1535.58216251
"45_-86",1450.60605918
"45_-87",6437.951857781
"45_-88",8682.330983146
"45_-89",8686.33386011
"45_-90",8688.17106658
"45_-91",8687.88154529
"45_-92",8685.056453784
"45_-93",8682.2726839691
"45_-94",8689.955662236
"45_-95",8683.54785325
"45_-96",8686.488294393
"45_-97",8686.333860102
"45_-98",8686.333860105
"45_-99",8686.333860107
"46_-100",8534.3936720428
"46_-101",8532.74331167
"46_-102",8532.74331167
"46_-103",8532.74331167
"46_-104",8532.75099239
"46_-105",8532.74331167
"46_-106",8532.74331167
"46_-107",8532.74331167
"46_-108",8532.74331167
"46_-109",8532.7433116774
"46_-110",8530.94973349
"46_-111",8532.74331167
"46_-112",8532.74331167
"46_-113",8532.74331167
"46_-114",8536.22559222
"46_-115",8532.4533273298
"46_-116",8532.558710678
"46_-117",8536.97427800742
"46_-118",8534.9212098081
"46_-119",8532.74331167
"46_-120",8532.74331167
"46_-121",8533.22063626
"46_-122",8534.4601654568
"46_-123",8234.9207193
"46_-124",149.65191746
"46_-52",103.155205044
"46_-53",1583.10887087
"46_-54",180.714431025
"46_-55",540.697342224
"46_-59",209.750398076
"46_-60",5571.35928628
"46_-61",1543.45960523
"46_-62",2095.765666
"46_-63",2141.7817226574
"46_-64",4637.6809025077
"46_-65",8532.74331167
"46_-66",8532.74331167
"46_-67",8533.15109207
"46_-68",8532.74331167
"46_-69",8529.854160605
"46_-70",8331.1695389652
"46_-71",8533.95836654
"46_-72",8171.09225674
"46_-73",8434.67044014
"46_-74",8532.74331167
"46_-75",8532.74331167
"46_-76",8532.74331167
"46_-77",8535.689381721
"46_-78",8532.74331168
"46_-79",8529.658143822
"46_-80",8532.74331167
"46_-81",8404.96956654694
"46_-82",7216.80413729
"46_-83",6873.595457397
"46_-84",5985.56227302
"46_-85",5727.25932831
"46_-86",4684.5432153
"46_-87",5840.68617772
"46_-88",8116.132173016
"46_-89",7312.42580509
"46_-90",5825.613276966
"46_-91",6859.25350203
"46_-92",8462.7051118514
"46_-93",8536.804487808
"46_-94",8532.74331167
"46_-95",8532.666457661
"46_-96",8532.51512143
"46_-97",8532.74331167
"46_-98",8532.74331167
"46_-99",8532.74331167
"47_-100",8378.724817618
"47_-101",8376.47717799
"47_-102",8373.219407831
"47_-103",8376.477178
"47_-104",8375.384807497
"47_-105",8376.477178
"47_-106",8372.8373535006
"47_-107",8373.37077957
"47_-108",8373.27963954
"47_-109",8373.787030025
"47_-110",8378.78009653
"47_-111",8376.477177999
"47_-112",8375.464814238
"47_-113",8376.477178
"47_-114",8376.477178
"47_-115",8377.10046365
"47_-116",8377.3838331358
"47_-117",8375.9573512871
"47_-118",8375.011877728
"47_-119",8376.477178
"47_-120",8376.477178
"47_-121",8377.38665574
"47_-122",7050.47082881
"47_-123",8376.477178
"47_-124",3027.92264109
"47_-52",1086.09177065
"47_-53",6315.70532995
"47_-54",3974.45007175
"47_-55",5023.85597063
"47_-56",3073.44726048
"47_-57",3027.45367071
"47_-58",2913.139262
"47_-59",1127.30691457
"47_-60",21.0606165034
"47_-64",762.774699719
"47_-65",6393.16575163
"47_-66",8302.6801641364
"47_-67",8375.829193612
"47_-68",8376.47717801
"47_-69",7179.97393655164
"47_-70",6690.765107762
"47_-71",8376.477178
"47_-72",8376.477178
"47_-73",8376.477178
"47_-74",8376.477178
"47_-75",8376.477178
"47_-76",8375.86713433632
"47_-77",8376.477178
"47_-78",8376.477178
"47_-79",8375.966975045
"47_-80",8376.477178
"47_-81",8376.477178
"47_-82",8376.477178
"47_-83",8373.643922989
"47_-84",7088.318633028
"47_-85",378.872110052
"47_-87",170.088412336
"47_-88",1716.9282551641
"47_-89",433.57371927375
"47_-90",2628.49399088
"47_-91",7052.60961895
"47_-92",8376.477178
"47_-93",8376.477178
"47_-94",8376.477178
"47_-95",8376.11891562
"47_-96",8380.143880044
"47_-97",8375.702831036
"47_-98",8376.477178
"47_-99",8376.477178
"48_-100",8217.57967305
"48_-101",8217.57967305
"48_-102",8220.837443221
"48_-103",8215.5647803335
"48_-104",8216.9494742008
"48_-105",8217.57967305
"48_-106",8221.21949754
"48_-107",8220.686071476
"48_-108",8220.777211508
"48_-109",8220.26982102
"48_-110",8217.57967305
"48_-111",8217.57967305
"48_-112",8214.98013697363
"48_-113",8217.57967305
"48_-114",8217.57967305
"48_-115",8215.5458661408
"48_-116",8214.5895650684
"48_-117",8215.8138118734
"48_-118",8219.044973317
"48_-119",8214.169769057
"48_-120",8217.57967305
"48_-121",8219.3303184546
"48_-122",4754.8756556711
"48_-123",4116.03173273
"48_-124",5140.85801964
"48_-125",291.57534498
"48_-52",15.8359289519
"48_-53",3262.08029571
"48_-54",8217.57967305
"48_-55",8217.57967305
"48_-56",8217.57967305
"48_-57",8217.57967305
"48_-58",6047.93542038
"48_-59",236.069056414
"48_-64",4168.70001735
"48_-65",7621.40016948
"48_-66",8014.314286803
"48_-67",7013.3634453283
"48_-68",4484.850964561
"48_-69",6174.750099765
"48_-70",8217.57967305
"48_-71",8217.57967304
"48_-72",8217.57967305
"48_-73",8216.0493977727
"48_-74",8217.57967305
"48_-75",8215.21230557
"48_-76",8218.18971672
"48_-77",8217.57967305
"48_-78",8217.57967305
"48_-79",8218.0247489996
"48_-80",8217.57967305
"48_-81",8217.57967305
"48_-82",8217.57967305
"48_-83",8220.41292805
"48_-84",8217.57967305
"48_-85",8178.83786542
"48_-86",3173.42837262
"48_-87",1629.48843304
